Observador1,Observador2,Observador3,Observador4,Observador5
370510,332886,335563,342784,341658
19769,48105,50457,44728,42516
249345,215285,232198,227209,242324
15206,38221,44625,37560,33570
17936,14864,16004,14919,13514
1092,2891,3715,3588,3374
24194,23231,24319,24391,22094
443200,437772,409998,442778,434926
21448,20166,19978,21306,26507
336669,334922,320880,333739,328807
19002,17932,18131,19092,22580
20378,21465,21566,20441,16364
1413,1151,1438,1182,1123
33575,31642,32560,32739,31623
291288,283635,293401,290205,289924
13393,12283,14077,12877,13408
199066,195494,201628,199185,199763
12511,11151,12525,11610,12753
15331,12804,15983,13334,14618
1405,999,1470,1301,1423
20466,16101,19911,18401,15605
398983,536175,563240,567925,515619
14059,61913,59866,470488,71730
270914,353951,364568,1169504,371285
12776,47647,47800,438916,51734
19706,18619,18670,2977274,21839
1252,2087,2289,3418704,2962
22026,31553,35804,377989,31243
